run,gettick_ms,qpc_ms,rdtsc_ticks
1,141.000000,129.725300,382277466
2,156.000000,135.170900,392604240
3,141.000000,133.140800,386052971
4,125.000000,133.807000,383936350
5,141.000000,130.813000,382709986
6,125.000000,135.457100,426862545
7,156.000000,134.738300,384720107
8,140.000000,134.400300,390293817
9,141.000000,134.217600,395049262
10,141.000000,135.325700,388642790
11,141.000000,133.461700,385952908
12,125.000000,130.386700,389523194
13,141.000000,132.396100,383865910
14,140.000000,132.226800,378651881
15,141.000000,130.733000,380759963
16,125.000000,132.016000,383410167
17,141.000000,139.118700,395918512
18,141.000000,136.333500,397368233
19,141.000000,134.652600,408365011
20,141.000000,134.770700,401214182
21,125.000000,133.235100,385012044
22,141.000000,133.160800,385757789
23,125.000000,134.264600,435154865
24,141.000000,134.218400,391182320
25,125.000000,133.391800,384823570
26,140.000000,132.644300,385452945
27,125.000000,131.816200,382175388
28,141.000000,130.209200,383431782
29,125.000000,131.056900,378235261
30,125.000000,130.227900,386830466
