algorithm,n,param,unroll,seconds,gflops,speedup,correct
Naive,256,8,1,0.000639488,52.4708,173.774,1
Tiled,256,8,1,0.00056048,59.8673,198.27,1
Naive,256,16,1,0.000521088,64.393,213.259,1
Tiled,256,16,1,0.000503744,66.6101,220.601,1
Naive,256,32,1,0.00049504,67.7813,224.48,1
Tiled,256,32,1,0.000529152,63.4117,210.009,1
Naive,512,8,1,0.00260266,103.139,403.776,1
Tiled,512,8,1,0.00221443,121.221,474.564,1
Naive,512,16,1,0.0020777,129.199,505.795,1
Tiled,512,16,1,0.00191763,139.983,548.014,1
Naive,512,32,1,0.00187603,143.087,560.166,1
Tiled,512,32,1,0.00191315,140.311,549.297,1
Naive,1024,8,1,0.0117114,183.367,1129.2,1
Tiled,1024,8,1,0.00946886,226.794,1396.64,1
Naive,1024,16,1,0.00862003,249.127,1534.17,1
Tiled,1024,16,1,0.0075304,285.175,1756.16,1
Naive,1024,32,1,0.00727011,295.385,1819.03,1
Tiled,1024,32,1,0.00748979,286.721,1765.68,1
