algorithm,n,param,unroll,seconds,gflops,speedup,correct
RowCache,256,32,1,0.000804128,41.7277,138.195,1
ColCache,256,32,1,0.00188666,17.7851,58.9013,1
RowCache,256,64,1,0.0006776,49.5195,164,1
ColCache,256,64,1,0.0018287,18.3487,60.7679,1
RowCache,256,128,1,0.000612064,54.8218,181.56,1
ColCache,256,128,1,0.00173718,19.3154,63.9693,1
RowCache,256,256,1,0.000619104,54.1984,179.496,1
ColCache,256,256,1,0.00178832,18.7631,62.1402,1
RowCache,512,32,1,0.00411299,65.2653,255.505,1
ColCache,512,32,1,0.0129129,20.7882,81.3831,1
RowCache,512,64,1,0.00325251,82.5317,323.101,1
ColCache,512,64,1,0.0120312,22.3117,87.3472,1
RowCache,512,128,1,0.00282342,95.0744,372.204,1
ColCache,512,128,1,0.011596,23.149,90.6251,1
RowCache,512,256,1,0.00268851,99.8454,390.881,1
ColCache,512,256,1,0.0114193,23.5072,92.0277,1
RowCache,1024,32,1,0.0204486,105.019,646.722,1
ColCache,1024,32,1,0.0726809,29.5467,181.954,1
RowCache,1024,64,1,0.0150703,142.497,877.523,1
ColCache,1024,64,1,0.066623,32.2333,198.498,1
RowCache,1024,128,1,0.00922867,232.697,1432.99,1
ColCache,1024,128,1,0.042568,50.4483,310.669,1
RowCache,1024,256,1,0.00902954,237.829,1464.59,1
ColCache,1024,256,1,0.0421378,50.9633,313.841,1
