algorithm,n,param,unroll,seconds,gflops,speedup,correct
Naive,256,16,1,0.160643,0.208875,0.691759,1
RowCache,256,128,1,0.000694144,48.3393,160.091,1
ColCache,256,128,1,0.00177533,18.9004,62.5949,1
Tiled,256,16,1,0.000543456,61.7427,204.481,1
Naive,512,16,1,0.00256269,104.748,410.073,1
RowCache,512,128,1,0.00288966,92.895,363.672,1
ColCache,512,128,1,0.0116341,23.0732,90.3285,1
Tiled,512,16,1,0.00194061,138.325,541.526,1
Naive,1024,16,1,0.0129828,165.41,1018.62,1
RowCache,1024,128,1,0.0201913,106.357,654.962,1
ColCache,1024,128,1,0.109301,19.6474,120.992,1
Tiled,1024,16,1,0.00786784,272.945,1680.84,1
