algorithm,n,param,unroll,seconds,gflops,speedup,correct
Naive,256,16,1,0.000523232,64.1292,212.385,1
RowCache,256,128,1,0.000617184,54.367,180.054,1
ColCache,256,128,1,0.00172045,19.5033,64.5916,1
Tiled,256,16,1,0.00053184,63.0912,208.947,1
Naive,256,16,2,0.000537248,62.4561,206.844,1
RowCache,256,128,2,0.000611104,54.9079,181.845,1
ColCache,256,128,2,0.00174902,19.1847,63.5363,1
Tiled,256,16,2,0.000513568,65.3359,216.381,1
Naive,256,16,4,0.000520832,64.4247,213.363,1
RowCache,256,128,4,0.0006264,53.5671,177.405,1
ColCache,256,128,4,0.00173219,19.3711,64.1537,1
Tiled,256,16,4,0.000507776,66.0812,218.849,1
Naive,512,16,1,0.00208682,128.634,503.585,1
RowCache,512,128,1,0.00283126,94.8112,371.173,1
ColCache,512,128,1,0.0116313,23.0787,90.3501,1
Tiled,512,16,1,0.0018592,144.382,565.237,1
Naive,512,16,2,0.00250611,107.112,419.33,1
RowCache,512,128,2,0.00267757,100.253,392.479,1
ColCache,512,128,2,0.010429,25.7394,100.766,1
Tiled,512,16,2,0.00182486,147.099,575.872,1
Naive,512,16,4,0.0019527,137.469,538.171,1
RowCache,512,128,4,0.00259315,103.517,405.255,1
ColCache,512,128,4,0.0103161,26.021,101.869,1
Tiled,512,16,4,0.00184432,145.547,569.797,1
Naive,1024,16,1,0.00663002,323.903,1994.65,1
RowCache,1024,128,1,0.00948726,226.354,1393.93,1
ColCache,1024,128,1,0.0427655,50.2154,309.235,1
Tiled,1024,16,1,0.00593466,361.855,2228.36,1
Naive,1024,16,2,0.0066416,323.338,1991.17,1
RowCache,1024,128,2,0.00953142,225.306,1387.47,1
ColCache,1024,128,2,0.0429461,50.0041,307.934,1
Tiled,1024,16,2,0.00638589,336.286,2070.9,1
Naive,1024,16,4,0.0066512,322.872,1988.3,1
RowCache,1024,128,4,0.00943482,227.613,1401.68,1
ColCache,1024,128,4,0.0427454,50.239,309.38,1
Tiled,1024,16,4,0.00599808,358.029,2204.8,1
